id_client,churn,score_churn,risque_ml
73206982,1,0.9978,Haut
73206986,0,0.4285,Moyen
73206999,1,0.5131,Moyen
73207013,1,0.9978,Haut
73207043,0,0.0102,Faible
73207046,0,0.0386,Faible
73207051,1,0.9978,Haut
73207095,0,0.0911,Faible
73207123,1,0.6183,Haut
73207124,0,0.3232,Moyen
73207161,0,0.2731,Faible
73207165,0,0.1128,Faible
73207182,0,0.01,Faible
73207190,0,0.1859,Faible
73207194,1,0.654,Haut
73207203,1,0.9977,Haut
73207310,1,0.4576,Moyen
73208013,0,0.3154,Moyen
73208023,0,0.2897,Faible
73208032,0,0.0175,Faible
73208063,0,0.3905,Moyen
73208072,0,0.3163,Moyen
73208078,0,0.0909,Faible
73208115,1,0.7858,Haut
73208132,1,0.9978,Haut
73208162,1,0.9978,Haut
73208167,1,0.9969,Haut
73208199,0,0.4397,Moyen
73208238,1,0.3302,Moyen
73208239,0,0.2566,Faible
73208263,0,0.3399,Moyen
73208278,1,0.9978,Haut
73208279,0,0.0124,Faible
73208281,1,0.9978,Haut
73208286,1,0.3099,Moyen
73208337,1,0.3919,Moyen
73208358,0,0.382,Moyen
73208360,1,0.5682,Moyen
73208391,1,0.9969,Haut
73208407,1,0.9978,Haut
73208419,0,0.4174,Moyen
73208423,0,0.3154,Moyen
73208431,1,0.9964,Haut
73208441,0,0.4908,Moyen
73208513,1,0.2511,Faible
73208516,1,0.9978,Haut
73208537,1,0.9978,Haut
73208544,1,0.589,Moyen
73208545,1,0.9973,Haut
73208546,0,0.3988,Moyen
73208547,0,0.0185,Faible
73208553,0,0.1315,Faible
73208562,1,0.9978,Haut
73208616,1,0.9978,Haut
73208632,0,0.2503,Faible
73208640,0,0.1884,Faible
73208642,0,0.2731,Faible
73208648,0,0.0149,Faible
73208656,0,0.314,Moyen
73209118,1,0.9978,Haut
73209167,0,0.4424,Moyen
73209210,1,0.9977,Haut
73209213,0,0.0314,Faible
73209250,0,0.0198,Faible
73209417,1,0.9978,Haut
73209426,1,0.4171,Moyen
73209457,1,0.9978,Haut
73209504,0,0.0066,Faible
73209562,0,0.4571,Moyen
73209567,1,0.2525,Faible
73209579,0,0.2516,Faible
73209650,0,0.1054,Faible
73209717,1,0.4876,Moyen
73209720,1,0.9978,Haut
73209766,0,0.3942,Moyen
73209796,0,0.0089,Faible
73209806,1,0.9977,Haut
73209836,1,0.4263,Moyen
73209908,0,0.0167,Faible
73209961,0,0.5884,Moyen
73209972,0,0.014,Faible
73210004,0,0.011,Faible
73210024,0,0.1928,Faible
73210103,0,0.0078,Faible
73210106,0,0.0078,Faible
73210127,0,0.0069,Faible
73210132,0,0.4022,Moyen
73210150,1,0.9977,Haut
73210176,0,0.0181,Faible
73210199,0,0.0314,Faible
73210244,1,0.998,Haut
73210274,0,0.012,Faible
73210280,0,0.0073,Faible
73210284,0,0.0314,Faible
73210307,0,0.1388,Faible
73210315,0,0.0198,Faible
73210320,0,0.0115,Faible
73210335,1,0.9967,Haut
73210341,0,0.0317,Faible
73210391,0,0.0091,Faible
73210397,0,0.0074,Faible
73210410,0,0.0068,Faible
73210411,1,0.3988,Moyen
73210422,0,0.0103,Faible
73210470,1,0.3683,Moyen
73210472,0,0.0078,Faible
73210489,0,0.0067,Faible
73210495,0,0.0067,Faible
73210507,1,0.0126,Faible
73210519,0,0.0211,Faible
73210528,0,0.0758,Faible
73210538,0,0.0279,Faible
73210549,1,0.9973,Haut
73210552,0,0.0054,Faible
73210571,0,0.0156,Faible
73210581,1,0.9973,Haut
73210608,0,0.1814,Faible
73210642,0,0.2511,Faible
73210655,0,0.3747,Moyen
73210656,0,0.3266,Moyen
73210668,0,0.0167,Faible
73210708,0,0.0123,Faible
73210725,0,0.0078,Faible
73210727,1,0.998,Haut
73210752,0,0.0117,Faible
73210764,0,0.019,Faible
73210772,0,0.0675,Faible
73210781,0,0.0149,Faible
73210795,0,0.012,Faible
73210796,1,0.9978,Haut
73210801,0,0.0104,Faible
73210813,0,0.0069,Faible
73210823,0,0.4281,Moyen
73210830,0,0.1317,Faible
73210837,0,0.0237,Faible
73210847,0,0.0127,Faible
73210848,0,0.0088,Faible
73210853,0,0.0094,Faible
73210866,0,0.0101,Faible
73210870,0,0.0064,Faible
73210877,0,0.2511,Faible
73210890,0,0.1887,Faible
73210965,1,0.9978,Haut
73210977,0,0.006,Faible
73210981,0,0.0274,Faible
73210989,0,0.0126,Faible
73211004,0,0.2593,Faible
73211025,1,0.5501,Moyen
73211036,0,0.0073,Faible
73211047,0,0.2724,Faible
73211115,0,0.0314,Faible
73211126,1,0.7858,Haut
73211131,0,0.0133,Faible
73211132,0,0.0279,Faible
73211140,0,0.0108,Faible
73211161,0,0.0078,Faible
73211177,0,0.006,Faible
73211206,1,0.6661,Haut
73211208,0,0.0314,Faible
73211210,0,0.0226,Faible
73211212,1,0.9977,Haut
73211213,0,0.0081,Faible
73211222,1,0.9973,Haut
73211223,0,0.0151,Faible
73211240,0,0.1459,Faible
73211257,0,0.017,Faible
73211288,0,0.0273,Faible
73211317,0,0.0074,Faible
73211320,0,0.0237,Faible
73211348,1,0.9978,Haut
73211367,0,0.5176,Moyen
73211376,0,0.0116,Faible
73211414,0,0.0099,Faible
73211429,0,0.0103,Faible
73211458,0,0.0071,Faible
73211510,0,0.4146,Moyen
73211516,1,0.2732,Faible
73211542,1,0.998,Haut
73211559,0,0.0114,Faible
73211560,1,0.5283,Moyen
73211599,0,0.0116,Faible
73211601,0,0.014,Faible
73211614,0,0.0314,Faible
73211630,1,0.5405,Moyen
73211675,0,0.0158,Faible
73211695,0,0.3017,Moyen
73211730,0,0.0112,Faible
73211736,0,0.019,Faible
73211737,0,0.0157,Faible
73211751,1,0.9964,Haut
73211767,0,0.015,Faible
73211803,0,0.0206,Faible
73211818,1,0.6946,Haut
73211848,1,0.3988,Moyen
73211883,0,0.0091,Faible
73211911,0,0.0279,Faible
73211918,0,0.3988,Moyen
73211926,1,0.3988,Moyen
73211947,0,0.011,Faible
73211978,0,0.0126,Faible
73211980,0,0.3893,Moyen
73212033,1,0.4927,Moyen
73212049,0,0.006,Faible
73212051,0,0.0094,Faible
73212061,0,0.0127,Faible
73212077,0,0.0114,Faible
73212084,0,0.1345,Faible
73212087,0,0.0126,Faible
73212107,0,0.0153,Faible
73212109,0,0.1363,Faible
73212125,0,0.0122,Faible
73212127,0,0.0259,Faible
73212132,1,0.9977,Haut
73212157,0,0.012,Faible
73212161,0,0.011,Faible
73212167,0,0.0068,Faible
73212173,0,0.0108,Faible
73212176,0,0.0129,Faible
73212181,0,0.0162,Faible
73212185,0,0.2511,Faible
73212199,0,0.0146,Faible
73212207,1,0.3904,Moyen
73212218,1,0.9978,Haut
73212249,0,0.0091,Faible
73212305,0,0.0103,Faible
73212308,1,0.9978,Haut
73212309,0,0.0279,Faible
73212343,1,0.3388,Moyen
73212355,0,0.0124,Faible
73212364,0,0.3161,Moyen
73212385,0,0.4146,Moyen
73212391,0,0.0069,Faible
73212402,0,0.3163,Moyen
73212403,0,0.0597,Faible
73212407,0,0.0064,Faible
73212413,0,0.0671,Faible
73212417,0,0.0237,Faible
73212454,1,0.9978,Haut
73212459,0,0.0198,Faible
73212462,0,0.0068,Faible
73212472,0,0.0179,Faible
73212481,0,0.0314,Faible
